Contabilización;Comprobante;;;;Cliente;;;Gravados;;;
Asiento;Fecha;Tipo;Nº;CAE;CUIT;Nombre o Razón Social;IVA;ING;IVA;Total;Observaciones
288) - 29950;18/02/2026;F B;00003-00001041;Sí;30-59545956-3;OSPERYHRA;E;8.372.242,44;1.758.170,91;10.130.413,35;Periodo Febrero 2026
289) - 29951;18/02/2026;NC A;00003-00000032;Sí;30-70495386-7;OSLERA;RI;-451.235,40;-94.759,43;-545.994,83;ANULA FC509
353) - 29707;01/03/2026;F A;00003-00000512;Sí;33-68915085-9;GEA S.A.;RI;1.218.985,29;255.986,91;1.474.972,20;Periodo Febrero 2026
354) - 29708;01/03/2026;F A;00003-00000513;Sí;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;3.187.664,97;669.409,64;3.857.074,61;Carpeta 12-2025
355) - 29709;01/03/2026;F A;00003-00000514;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;2.257.280,48;474.028,90;2.731.309,38;Carpeta 12-2025
356) - 29710;01/03/2026;F B;00003-00001042;Sí;30-62425407-0;OS PRENSA ROSARIO;E;868.034,52;182.287,25;1.050.321,77;Periodo Febrero  2026 
357) - 29711;01/03/2026;F B;00003-00001043;Sí;30-62425407-0;OS PRENSA ROSARIO;E;969.516,63;203.598,49;1.173.115,12;Periodo Febrero  2026
358) - 29712;01/03/2026;F B;00003-00001044;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;2.213.141,23;464.759,66;2.677.900,89;Periodo Febrero  2026 
359) - 29713;01/03/2026;F B;00003-00001045;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;778.072,47;163.395,22;941.467,69;Periodo Febrero  2026 
360) - 29714;01/03/2026;F B;00003-00001046;Sí;30-59965970-2;OSPERYH;E;2.284.458,12;479.736,21;2.764.194,33;Periodo Febrero  2026 
361) - 29715;01/03/2026;F B;00003-00001047;Sí;30-59545956-3;OSPERYHRA;E;480.938,55;100.997,10;581.935,65;Periodo Febrero  2026
362) - 29716;01/03/2026;F B;00003-00001048;Sí;30-53331924-2;FATERYH;E;9.137.832,48;1.918.944,82;11.056.777,30;Periodo Febrero  2026
363) - 29717;01/03/2026;F B;00003-00001049;Sí;30-52954331-6;SUTERH;E;1.923.754,21;403.988,38;2.327.742,59;Periodo Febrero  2026 
364) - 29718;01/03/2026;F B;00003-00001050;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;385.000,00;80.850,00;465.850,00;Periodo Febrero 2026
365) - 29719;01/03/2026;F B;00003-00001051;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;4.950.000,00;1.039.500,00;5.989.500,00;Periodo Febrero  2026
366) - 29720;01/03/2026;F B;00003-00001052;Sí;30-60956813-1;OSPILM;E;5.889.404,36;1.236.774,92;7.126.179,28;Carpeta 12-2025
445) - 29771;15/03/2026;F A;00003-00000515;Sí;30-52297151-7;APDIS;RI;817.980,89;171.775,99;989.756,88;Periodo Marzo 2026
446) - 29772;15/03/2026;F A;00003-00000516;Sí;30-70495386-7;OSLERA;RI;195.936,06;41.146,57;237.082,63;Período Marzo 2026
447) - 29773;15/03/2026;F B;00003-00001053;Sí;30-59965970-2;OSPERYH;E;17.523.841,44;3.680.006,70;21.203.848,14;Período Marzo 2026
448) - 29774;15/03/2026;F B;00003-00001054;Sí;30-59545956-3;OSPERYHRA;E;2.590.779,69;544.063,73;3.134.843,42;Período Marzo 2026
541) - 30237;01/04/2026;F A;00003-00000517;Sí;33-68915085-9;GEA S.A.;RI;1.218.985,29;255.986,91;1.474.972,20;Periodo Marzo 2026
