Regisoft Contabilidad y Gestión;;;;;;;;;;;;Pág. 1 / 1;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EPL CONSULTORES SRL, Av. Dr. Honorio Pueyrredon 328 - Dto:8, 1405 CABA, Capital.  Responsable Inscripto 30-71193999-3;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Libro Mayor;;;;;;;;;;;;;;
Desde  01/01/2026  hasta  31/12/2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01.01.01.01 - CAJA (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      58);;;02/01/26;Pagos: s/ O.Pago Nº6260 - BANCO SANTANDER RIO SA;;;2.266.221,72;;;;-105.487.469,30;;;
      59);;;02/01/26;Pagos: s/ O.Pago Nº6259 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;2.899.156,50;;;;-102.588.312,80;;;
      62);;;04/01/26;Compras: s/F A  Nº -00000470 - DAURAT MERCEDES MARIA;;;;;6.050.000,00;;-108.638.312,80;;;
      64);;;05/01/26;Compras: s/OC  Nº -72110420 - BANCO SANTANDER RIO SA;;;;;169.575,96;;-108.807.888,76;;;
      65);;;05/01/26;Pagos: s/ O.Pago Nº6147 - BANCO SANTANDER RIO SA;;;169.575,96;;;;-108.638.312,80;;;
      69);;;06/01/26;Compras: s/F C  Nº -00000120 - MERCEDES FRATTINI;;;;;1.500.000,00;;-110.138.312,80;;;
      70);;;06/01/26;Compras: s/F C  Nº -00000121 - MERCEDES FRATTINI;;;;;882.000,00;;-111.020.312,80;;;
      72);;;06/01/26;Pagos: s/ O.Pago Nº6148 - BANCO SANTANDER RIO SA;;;1.213.596,78;;;;-109.806.716,02;;;
      78);;;09/01/26;Pagos: s/ O.Pago Nº6093 - TELEFONICA MOVILES ARGENT;;;160.671,83;;;;-109.646.044,19;;;
      79);;;09/01/26;Pagos: s/ O.Pago Nº6095 - CESAR AUGUSTO ARCARO MALITO;;;4.606.646,78;;;;-105.039.397,41;;;
      81);;;09/01/26;Compras: s/F A  Nº -00001640 - SACCOL EMILIANO;;;;;181.500,00;;-105.220.897,41;;;
      83);;;09/01/26;Pagos: s/ O.Pago Nº6149 - BANCO SANTANDER RIO SA;;;268.620,03;;;;-104.952.277,38;;;
      86);;;09/01/26;Pagos: s/ O.Pago Nº6094 - LUCIANO ORSI;;;2.516.613,00;;;;-102.435.664,38;;;
      87);;;09/01/26;Pagos: s/ O.Pago Nº6246 - SCHNEIDER ALAN NICOLAS;;;53.006,88;;;;-102.382.657,50;;;
      88);;;09/01/26;Pagos: s/ O.Pago Nº6247 - OSDE ORGANIZACION DE SERVICIOS DIRECTOS;;;12.639,35;;;;-102.370.018,15;;;
      89);;;09/01/26;Pagos: s/ O.Pago Nº6251 - ENCODE S.A.;;;87.120,00;;;;-102.282.898,15;;;
      90);;;12/01/26;Compras: s/F C  Nº -00000137 - MORABITO FEDERICO JAVIER;;;;;216.500,00;;-102.499.398,15;;;
      96);;;13/01/26;Pagos: s/ O.Pago Nº6085 - CANDIA DOMINGUEZ LUCIA BELEN;;;295.480,00;;;;-102.203.918,15;;;
      98);;;13/01/26;Compras: s/F C  Nº -00000028 - ANDREACCHIO RODOLFO;;;;;900.000,00;;-103.103.918,15;;;
      99);;;13/01/26;Pagos: s/ O.Pago Nº6245 - DINAMICA COMERCIAL  SRL;;;16.000,00;;;;-103.087.918,15;;;
      101);;;14/01/26;Pagos: s/ O.Pago Nº6150 - BANCO SANTANDER RIO SA;;;434.457,58;;;;-102.653.460,57;;;
      104);;;15/01/26;Compras: s/F C  Nº -00000124 - MERCEDES FRATTINI;;;;;1.047.986,80;;-103.701.447,37;;;
      116);;;16/01/26;Compras: s/OC  Nº -00220301 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;;;680.223,61;;-104.381.670,98;;;
      119);;;16/01/26;Pagos: s/ O.Pago Nº6232 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;680.223,61;;;;-103.701.447,37;;;
      120);;;16/01/26;Pagos: s/ O.Pago Nº6242 - CAMARA DE EMPRESAS DE SOFTWARE Y SERVICIOS INF;;;60.000,00;;;;-103.641.447,37;;;
      121);;;19/01/26;Pagos: s/ O.Pago Nº6075 - NUBI S.A.;;;130.487,30;;;;-103.510.960,07;;;
      122);;;19/01/26;Pagos: s/ O.Pago Nº6076 - SACCOL EMILIANO;;;191.785,00;;;;-103.319.175,07;;;
      124);;;19/01/26;Compras: s/F A  Nº -00001642 - SACCOL EMILIANO;;;;;191.785,00;;-103.510.960,07;;;
      125);;;19/01/26;Compras: s/F C  Nº -00000669 - ALLER ROCIO BELEN;;;;;35.000,00;;-103.545.960,07;;;
      130);;;19/01/26;Compras: s/OC  Nº -04002057 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;;;74.473,31;;-103.620.433,38;;;
      131);;;19/01/26;Pagos: s/ O.Pago Nº6228 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;74.473,31;;;;-103.545.960,07;;;
      132);;;20/01/26;Pagos: s/ O.Pago Nº6078 - DANIELA ALEJANDRA VAZQUEZ;;;1.500.000,00;;;;-102.045.960,07;;;
      133);;;20/01/26;Pagos: s/ O.Pago Nº6079 - ANDREACCHIO RODOLFO;;;900.000,00;;;;-101.145.960,07;;;
      134);;;20/01/26;Pagos: s/ O.Pago Nº6082 - RODRIGUEZ PILAR;;;1.783.000,00;;;;-99.362.960,07;;;
      135);;;20/01/26;Pagos: s/ O.Pago Nº6084 - WNS & ASOCIADOS S.R.L.;;;2.076.239,00;;;;-97.286.721,07;;;
      136);;;20/01/26;Pagos: s/ O.Pago Nº6097 - MARIA SOLEDAD PASCALE;;;2.500.000,00;;;;-94.786.721,07;;;
      137);;;20/01/26;Pagos: s/ O.Pago Nº6099 - FABIOLA LANDIN;;;726.000,00;;;;-94.060.721,07;;;
      138);;;20/01/26;Pagos: s/ O.Pago Nº6101 - CESAR AUGUSTO ARCARO MALITO;;;1.316.250,00;;;;-92.744.471,07;;;
      139);;;20/01/26;Pagos: s/ O.Pago Nº6102 - MORABITO FEDERICO JAVIER;;;216.500,00;;;;-92.527.971,07;;;
      143);;;20/01/26;Pagos: s/ O.Pago Nº6103 - DAURAT MERCEDES MARIA;;;6.050.000,00;;;;-86.477.971,07;;;
      145);;;20/01/26;Pagos: s/ O.Pago Nº6080 - MERCEDES FRATTINI;;;1.047.986,80;;;;-85.429.984,27;;;
      149);;;21/01/26;Pagos: s/ O.Pago Nº6179 - YOMHA DANTE;;;5.000.000,00;;;;-80.429.984,27;;;
      153);;;22/01/26;Compras: s/F A  Nº -00010321 - NUBI S.A.;;;;;66.095,97;;-80.496.080,24;;;
      159);;;23/01/26;Compras: s/F A  Nº -00237670 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;;;106.105,02;;-80.602.185,26;;;
      162);;;23/01/26;Pagos: s/ O.Pago Nº6151 - BANCO SANTANDER RIO SA;;;410.456,28;;;;-80.191.728,98;;;
      166);;;23/01/26;Pagos: s/ O.Pago Nº6229 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;531.460,36;;;;-79.660.268,62;;;
      167);;;26/01/26;Compras: s/F A  Nº -00000018 - FABIOLA LANDIN;;;;;726.000,00;;-80.386.268,62;;;
      168);;;26/01/26;Compras: s/F C  Nº -00000069 - LUCAS LEONARDO EIROS;;;;;5.000.000,00;;-85.386.268,62;;;
      169);;;26/01/26;Pagos: s/ O.Pago Nº6146 - LUCAS LEONARDO EIROS;;;5.000.000,00;;;;-80.386.268,62;;;
      170);;;27/01/26;Pagos: s/ O.Pago Nº6091 - MERCEDES FRATTINI;;;2.382.000,00;;;;-78.004.268,62;;;
      171);;;27/01/26;Pagos: s/ O.Pago Nº6092 - ALLER ROCIO BELEN;;;35.000,00;;;;-77.969.268,62;;;
      172);;;28/01/26;Pagos: s/ O.Pago Nº6104 - GOLAWARE S.R.L.;;;757.218,00;;;;-77.212.050,62;;;
      174);;;28/01/26;Compras: s/F A  Nº -00004173 - CONTATECH;;;;;36.300,00;;-77.248.350,62;;;
      175);;;28/01/26;Compras: s/F A  Nº -00211440 - TELEFONICA MOVILES ARGENT;;;;;168.433,58;;-77.416.784,20;;;
      178);;;28/01/26;Pagos: s/ O.Pago Nº6217 - BANCO BBVA ARGENTINA;;;2.076.818,93;;;;-75.339.965,27;;;
      182);;;30/01/26;Pagos: s/ O.Pago Nº6087 - FUNDACION CONSENSO;;;228.850,93;;;;-75.111.114,34;;;
      183);;;30/01/26;Pagos: s/ O.Pago Nº6088 - SACCOL EMILIANO;;;1.229.027,25;;;;-73.882.087,09;;;
      184);;;30/01/26;Pagos: s/ O.Pago Nº6089 - MINDER S A;;;61.415,96;;;;-73.820.671,13;;;
      185);;;30/01/26;Pagos: s/ O.Pago Nº6090 - WNS & ASOCIADOS S.R.L.;;;2.256.287,00;;;;-71.564.384,13;;;
      186);;;30/01/26;Compras: s/F A  Nº -00000381 - SANDJIAN & ASOCIADOS;;;;;2.904.000,00;;-74.468.384,13;;;
      187);;;30/01/26;Compras: s/F A  Nº -00000382 - SANDJIAN & ASOCIADOS;;;;;931.700,00;;-75.400.084,13;;;
      189);;;30/01/26;Pagos: s/ O.Pago Nº6175 - LUCAS LEONARDO EIROS;;;6.000.000,00;;;;-69.400.084,13;;;
      190);;;31/01/26;Compras: s/F A  Nº -00005793 - GOLAWARE S.R.L.;;;;;747.054,00;;-70.147.138,13;;;
      191);;;31/01/26;Compras: s/F A  Nº -00006254 - WNS & ASOCIADOS S.R.L.;;;;;2.256.287,00;;-72.403.425,13;;;
      193);;;31/01/26;Compras: s/F C  Nº -00000093 - YOMHA DANTE;;;;;5.800.000,00;;-78.203.425,13;;;
      194);;;31/01/26;Compras: s/F C  Nº -00000170 - YOMHA GALILEO;;;;;2.500.000,00;;-80.703.425,13;;;
      195);;;31/01/26;Compras: s/F C  Nº -00000090 - YOMHA FRANCO;;;;;5.800.000,00;;-86.503.425,13;;;
      200);;;31/01/26;Compras: s/OC  Nº -31012026 - BANCO MACRO CTA CTE;;;;;68.704,70;;-86.572.129,83;;;
      202);;;31/01/26;Pagos: s/ O.Pago Nº6220 - BANCO BBVA ARGENTINA;;;77.668,96;;;;-86.494.460,87;;;
      204);;;31/01/26;Pagos: s/ O.Pago Nº6224 - BANCO GALICIA;;;72.243,39;;;;-86.422.217,48;;;
      205);;;31/01/26;Pagos: s/ O.Pago Nº6233 - BANCO MACRO CTA CTE;;;68.704,70;;;;-86.353.512,78;;;
      207);;;31/01/26;Pagos: s/ O.Pago Nº6262 - TELEFONICA MOVILES ARGENT;;;263,70;;;;-86.353.249,08;;;
      209);;;01/02/26;Compras: s/F A  Nº -00000473 - DAURAT MERCEDES MARIA;;;;;6.050.000,00;;-92.403.249,08;;;
      210);;;01/02/26;Compras: s/F A  Nº -00004478 - ARQUETIPONET S.R.L.;;;;;280.139,20;;-92.683.388,28;;;
      211);;;01/02/26;Compras: s/F A  Nº -00002370 - CESAR AUGUSTO ARCARO MALITO;;;;;960.755,37;;-93.644.143,65;;;
      212);;;01/02/26;Compras: s/F A  Nº -00002371 - CESAR AUGUSTO ARCARO MALITO;;;;;484.000,00;;-94.128.143,65;;;
      213);;;01/02/26;Compras: s/F A  Nº -00002372 - CESAR AUGUSTO ARCARO MALITO;;;;;1.158.559,86;;-95.286.703,51;;;
      214);;;01/02/26;Compras: s/F A  Nº -00002373 - CESAR AUGUSTO ARCARO MALITO;;;;;2.490.271,85;;-97.776.975,36;;;
      215);;;01/02/26;Compras: s/F C  Nº -00001206 - LUCIANO ORSI;;;;;502.125,00;;-98.279.100,36;;;
      216);;;01/02/26;Compras: s/F C  Nº -00001207 - LUCIANO ORSI;;;;;595.432,00;;-98.874.532,36;;;
      217);;;01/02/26;Compras: s/F C  Nº -00001208 - LUCIANO ORSI;;;;;916.933,00;;-99.791.465,36;;;
      218);;;01/02/26;Compras: s/F C  Nº -00001209 - LUCIANO ORSI;;;;;502.123,00;;-100.293.588,36;;;
      230);;;01/02/26;Compras: s/OC  Nº -73031720 - BANCO SANTANDER RIO SA;;;;;410.456,28;;-100.704.044,64;;;
      231);;;01/02/26;Compras: s/OC  Nº -82817110 - BANCO SANTANDER RIO SA;;;;;434.457,58;;-101.138.502,22;;;
      232);;;01/02/26;Compras: s/OC  Nº -08660637 - BANCO SANTANDER RIO SA;;;;;268.620,03;;-101.407.122,25;;;
      233);;;01/02/26;Compras: s/OC  Nº -08976493 - BANCO SANTANDER RIO SA;;;;;1.213.596,78;;-102.620.719,03;;;
      234);;;02/02/26;Compras: s/F A  Nº -00003593 - FUNDACION CONSENSO;;;;;242.582,01;;-102.863.301,04;;;
      235);;;02/02/26;Compras: s/F A  Nº -00026325 - MINDER S A;;;;;56.273,05;;-102.919.574,09;;;
      236);;;02/02/26;Compras: s/F C  Nº -00000041 - MARIA SOLEDAD PASCALE;;;;;2.500.000,00;;-105.419.574,09;;;
      237);;;02/02/26;Compras: s/F C  Nº -00000203 - RODRIGUEZ PILAR;;;;;1.783.100,00;;-107.202.674,09;;;
      238);;;02/02/26;Compras: s/F C  Nº -00000125 - MERCEDES FRATTINI;;;;;1.047.986,80;;-108.250.660,89;;;
      239);;;02/02/26;Compras: s/F C  Nº -00000126 - MERCEDES FRATTINI;;;;;1.500.000,00;;-109.750.660,89;;;
      240);;;02/02/26;Compras: s/F C  Nº -00000127 - MERCEDES FRATTINI;;;;;536.136,76;;-110.286.797,65;;;
      245);;;03/02/26;Compras: s/OC  Nº -72110421 - BANCO SANTANDER RIO SA;;;;;136.205,94;;-110.423.003,59;;;
      247);;;03/02/26;Pagos: s/ O.Pago Nº6152 - BANCO SANTANDER RIO SA;;;136.205,94;;;;-110.286.797,65;;;
      252);;;04/02/26;Compras: s/F A  Nº -00001644 - SACCOL EMILIANO;;;;;548.704,75;;-110.835.502,40;;;
      253);;;04/02/26;Pagos: s/ O.Pago Nº6169 - YOMHA GALILEO;;;3.000.000,00;;;;-107.835.502,40;;;
      255);;;06/02/26;Pagos: s/ O.Pago Nº6123 - SANDJIAN & ASOCIADOS;;;931.700,00;;;;-106.903.802,40;;;
      259);;;06/02/26;Compras: s/OC  Nº -08976494 - BANCO SANTANDER RIO SA;;;;;1.177.902,76;;-108.081.705,16;;;
      260);;;06/02/26;Pagos: s/ O.Pago Nº6153 - BANCO SANTANDER RIO SA;;;1.177.902,76;;;;-106.903.802,40;;;
      263);;;09/02/26;Pagos: s/ O.Pago Nº6134 - TELEFONICA MOVILES ARGENT;;;168.433,58;;;;-106.735.368,82;;;
      265);;;09/02/26;Compras: s/OC  Nº -86606308 - BANCO SANTANDER RIO SA;;;;;227.952,36;;-106.963.321,18;;;
      266);;;09/02/26;Pagos: s/ O.Pago Nº6154 - BANCO SANTANDER RIO SA;;;227.952,36;;;;-106.735.368,82;;;
      270);;;11/02/26;Pagos: s/ O.Pago Nº6125 - CESAR AUGUSTO ARCARO MALITO;;;4.609.587,08;;;;-102.125.781,74;;;
      275);;;11/02/26;Pagos: s/ O.Pago Nº6124 - LUCIANO ORSI;;;2.471.613,00;;;;-99.654.168,74;;;
      276);;;13/02/26;Compras: s/F A  Nº -00010690 - NUBI S.A.;;;;;44.063,98;;-99.698.232,72;;;
      278);;;15/02/26;Compras: s/F C  Nº -00000029 - ANDREACCHIO RODOLFO;;;;;900.000,00;;-100.598.232,72;;;
      283);;;18/02/26;Pagos: s/ O.Pago Nº6136 - MARIA SOLEDAD PASCALE;;;2.500.000,00;;;;-98.098.232,72;;;
      291);;;18/02/26;Compras: s/OC  Nº -82817111 - BANCO SANTANDER RIO SA;;;;;414.458,29;;-98.512.691,01;;;
      292);;;18/02/26;Pagos: s/ O.Pago Nº6155 - BANCO SANTANDER RIO SA;;;414.458,29;;;;-98.098.232,72;;;
      296);;;20/02/26;Compras: s/F A  Nº -00239422 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;;;169.281,87;;-98.267.514,59;;;
      305);;;23/02/26;Pagos: s/ O.Pago Nº6111 - MORABITO FEDERICO JAVIER;;;216.500,00;;;;-98.051.014,59;;;
      307);;;23/02/26;Compras: s/F A  Nº -00004500 - ARQUETIPONET S.R.L.;;;;;163.350,00;;-98.214.364,59;;;
      308);;;23/02/26;Compras: s/F C  Nº -00000139 - MORABITO FEDERICO JAVIER;;;;;216.500,00;;-98.430.864,59;;;
      311);;;24/02/26;Pagos: s/ O.Pago Nº6109 - MINDER S A;;;171.048,52;;;;-98.259.816,07;;;
      312);;;24/02/26;Pagos: s/ O.Pago Nº6112 - RODRIGUEZ PILAR;;;1.783.000,00;;;;-96.476.816,07;;;
      313);;;24/02/26;Pagos: s/ O.Pago Nº6113 - DAURAT MERCEDES MARIA;;;6.050.000,00;;;;-90.426.816,07;;;
      315);;;24/02/26;Compras: s/F A  Nº -00004751 - CONTATECH;;;;;39.930,00;;-90.466.746,07;;;
      317);;;24/02/26;Pagos: s/ O.Pago Nº6243 - CONTATECH;;;76.230,00;;;;-90.390.516,07;;;
      318);;;25/02/26;Pagos: s/ O.Pago Nº6117 - NUBI S.A.;;;66.095,97;;;;-90.324.420,10;;;
      319);;;25/02/26;Pagos: s/ O.Pago Nº6114 - MERCEDES FRATTINI;;;2.036.136,76;;;;-88.288.283,34;;;
      320);;;25/02/26;Pagos: s/ O.Pago Nº6115 - GOLAWARE S.R.L.;;;747.054,00;;;;-87.541.229,34;;;
      321);;;25/02/26;Pagos: s/ O.Pago Nº6116 - ANDREACCHIO RODOLFO;;;900.000,00;;;;-86.641.229,34;;;
      322);;;25/02/26;Pagos: s/ O.Pago Nº6118 - MERCEDES FRATTINI;;;1.047.986,80;;;;-85.593.242,54;;;
      323);;;25/02/26;Pagos: s/ O.Pago Nº6119 - SACCOL EMILIANO;;;548.704,75;;;;-85.044.537,79;;;
      324);;;25/02/26;Pagos: s/ O.Pago Nº6120 - WNS & ASOCIADOS S.R.L.;;;2.256.287,00;;;;-82.788.250,79;;;
      328);;;25/02/26;Pagos: s/ O.Pago Nº6176 - LUCAS LEONARDO EIROS;;;6.000.000,00;;;;-76.788.250,79;;;
      332);;;27/02/26;Pagos: s/ O.Pago Nº6168 - YOMHA FRANCO;;;5.085.000,00;;;;-71.703.250,79;;;
      333);;;28/02/26;Compras: s/F A  Nº -00000391 - SANDJIAN & ASOCIADOS;;;;;931.700,00;;-72.634.950,79;;;
      334);;;28/02/26;Compras: s/F A  Nº -00000392 - SANDJIAN & ASOCIADOS;;;;;2.904.000,00;;-75.538.950,79;;;
      335);;;28/02/26;Compras: s/F A  Nº -00006029 - GOLAWARE S.R.L.;;;;;734.349,00;;-76.273.299,79;;;
      336);;;28/02/26;Compras: s/F A  Nº -00006370 - WNS & ASOCIADOS S.R.L.;;;;;2.256.287,00;;-78.529.586,79;;;
      337);;;28/02/26;Compras: s/F A  Nº -00217648 - TELEFONICA MOVILES ARGENT;;;;;175.145,68;;-78.704.732,47;;;
      338);;;28/02/26;Compras: s/F C  Nº -00000094 - YOMHA DANTE;;;;;5.800.000,00;;-84.504.732,47;;;
      339);;;28/02/26;Compras: s/F C  Nº -00000171 - YOMHA GALILEO;;;;;5.800.000,00;;-90.304.732,47;;;
      340);;;28/02/26;Compras: s/F C  Nº -00000091 - YOMHA FRANCO;;;;;5.800.000,00;;-96.104.732,47;;;
      347);;;28/02/26;Pagos: s/ O.Pago Nº6221 - BANCO BBVA ARGENTINA;;;75.232,54;;;;-96.029.499,93;;;
      349);;;28/02/26;Pagos: s/ O.Pago Nº6225 - BANCO GALICIA;;;81.177,17;;;;-95.948.322,76;;;
      351);;;28/02/26;Compras: s/OC  Nº -00202602 - BANCO MACRO CTA CTE;;;;;73.303,09;;-96.021.625,85;;;
      352);;;28/02/26;Pagos: s/ O.Pago Nº6234 - BANCO MACRO CTA CTE;;;73.303,09;;;;-95.948.322,76;;;
      367);;;01/03/26;Compras: s/F A  Nº -00001654 - SACCOL EMILIANO;;;;;548.704,75;;-96.497.027,51;;;
      368);;;01/03/26;Compras: s/F A  Nº -00004521 - ARQUETIPONET S.R.L.;;;;;270.459,20;;-96.767.486,71;;;
      369);;;01/03/26;Compras: s/F A  Nº -00002399 - CESAR AUGUSTO ARCARO MALITO;;;;;960.755,37;;-97.728.242,08;;;
      370);;;01/03/26;Compras: s/F A  Nº -00002400 - CESAR AUGUSTO ARCARO MALITO;;;;;484.000,00;;-98.212.242,08;;;
      371);;;01/03/26;Compras: s/F A  Nº -00002401 - CESAR AUGUSTO ARCARO MALITO;;;;;1.158.559,86;;-99.370.801,94;;;
      372);;;01/03/26;Compras: s/F A  Nº -00002402 - CESAR AUGUSTO ARCARO MALITO;;;;;2.490.271,85;;-101.861.073,79;;;
      373);;;01/03/26;Compras: s/F C  Nº -00001231 - LUCIANO ORSI;;;;;502.125,00;;-102.363.198,79;;;
      374);;;01/03/26;Compras: s/F C  Nº -00001232 - LUCIANO ORSI;;;;;595.432,00;;-102.958.630,79;;;
      375);;;01/03/26;Compras: s/F C  Nº -00001233 - LUCIANO ORSI;;;;;916.933,00;;-103.875.563,79;;;
      376);;;01/03/26;Compras: s/F C  Nº -00001234 - LUCIANO ORSI;;;;;502.123,00;;-104.377.686,79;;;
      378);;;02/03/26;Compras: s/F A  Nº -00003636 - FUNDACION CONSENSO;;;;;261.987,99;;-104.639.674,78;;;
      379);;;02/03/26;Compras: s/F A  Nº -00027509 - MINDER S A;;;;;57.904,96;;-104.697.579,74;;;
      380);;;02/03/26;Compras: s/F C  Nº -00000042 - MARIA SOLEDAD PASCALE;;;;;2.500.000,00;;-107.197.579,74;;;
      382);;;02/03/26;Compras: s/OC  Nº -0003910073031702 - BANCO SANTANDER RIO SA;;;;;338.602,08;;-107.536.181,82;;;
      386);;;03/03/26;Compras: s/OC  Nº -0003910072110402 - BANCO SANTANDER RIO SA;;;;;103.594,49;;-107.639.776,31;;;
      387);;;03/03/26;Pagos: s/ O.Pago Nº6172 - BANCO SANTANDER RIO SA;;;338.602,08;;;;-107.301.174,23;;;
      388);;;03/03/26;Pagos: s/ O.Pago Nº6173 - BANCO SANTANDER RIO SA;;;103.594,49;;;;-107.197.579,74;;;
      390);;;04/03/26;Pagos: s/ O.Pago Nº6121 - CESAR AUGUSTO ARCARO MALITO;;;1.452.000,00;;;;-105.745.579,74;;;
      393);;;04/03/26;Compras: s/F C  Nº -00000206 - RODRIGUEZ PILAR;;;;;1.961.410,00;;-107.706.989,74;;;
      394);;;04/03/26;Compras: s/F C  Nº -00000132 - MERCEDES FRATTINI;;;;;1.047.986,80;;-108.754.976,54;;;
      395);;;04/03/26;Compras: s/F C  Nº -00000133 - MERCEDES FRATTINI;;;;;1.500.000,00;;-110.254.976,54;;;
      396);;;04/03/26;Compras: s/NC C  Nº -00000005 - ABEL RODRIGUEZ;;;1.961.410,00;;;;-108.293.566,54;;;
      397);;;04/03/26;Compras: s/R C  Nº -00000163 - ABEL RODRIGUEZ;;;;;1.961.410,00;;-110.254.976,54;;;
      400);;;05/03/26;Pagos: s/ O.Pago Nº6256 - YOMHA DANTE;;;800.000,00;;;;-109.454.976,54;;;
      401);;;06/03/26;Pagos: s/ O.Pago Nº6131 - SANDJIAN & ASOCIADOS;;;2.904.000,00;;;;-106.550.976,54;;;
      402);;;06/03/26;Pagos: s/ O.Pago Nº6132 - WNS & ASOCIADOS S.R.L.;;;2.256.287,00;;;;-104.294.689,54;;;
      403);;;06/03/26;Pagos: s/ O.Pago Nº6133 - TELEFONICA MOVILES ARGENT;;;175.145,68;;;;-104.119.543,86;;;
      408);;;06/03/26;Compras: s/OC  Nº -0003910089764903 - BANCO SANTANDER RIO SA;;;;;1.031.672,40;;-105.151.216,26;;;
      409);;;06/03/26;Pagos: s/ O.Pago Nº6162 - BANCO SANTANDER RIO SA;;;1.031.672,40;;;;-104.119.543,86;;;
      412);;;06/03/26;Pagos: s/ O.Pago Nº6218 - BANCO BBVA ARGENTINA;;;2.080.904,53;;;;-102.038.639,33;;;
      414);;;06/03/26;Pagos: s/ O.Pago Nº6230 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;576.441,57;;;;-101.462.197,76;;;
      415);;;09/03/26;Pagos: s/ O.Pago Nº6135 - MARIA SOLEDAD PASCALE;;;2.500.000,00;;;;-98.962.197,76;;;
      416);;;09/03/26;Compras: s/F A  Nº -00011035 - NUBI S.A.;;;;;1.454,25;;-98.963.652,01;;;
      418);;;09/03/26;Compras: s/OC  Nº -0003910086606303 - BANCO SANTANDER RIO SA;;;;;185.316,14;;-99.148.968,15;;;
      419);;;09/03/26;Pagos: s/ O.Pago Nº6163 - BANCO SANTANDER RIO SA;;;185.316,14;;;;-98.963.652,01;;;
      422);;;10/03/26;Compras: s/F A  Nº -00002409 - CESAR AUGUSTO ARCARO MALITO;;;;;607.568,83;;-99.571.220,84;;;
      423);;;10/03/26;Compras: s/F C  Nº -00001256 - LUCIANO ORSI;;;;;794.013,00;;-100.365.233,84;;;
      424);;;10/03/26;Compras: s/NC A  Nº -00000084 - CESAR AUGUSTO ARCARO MALITO;;;960.755,37;;;;-99.404.478,47;;;
      425);;;10/03/26;Compras: s/NC C  Nº -00000080 - LUCIANO ORSI;;;502.123,00;;;;-98.902.355,47;;;
      429);;;12/03/26;Pagos: s/ O.Pago Nº6137 - GOLAWARE S.R.L.;;;734.349,00;;;;-98.168.006,47;;;
      430);;;12/03/26;Pagos: s/ O.Pago Nº6138 - LUCIANO ORSI;;;2.516.613,00;;;;-95.651.393,47;;;
      431);;;12/03/26;Pagos: s/ O.Pago Nº6139 - CESAR AUGUSTO ARCARO MALITO;;;5.577.587,08;;;;-90.073.806,39;;;
      432);;;12/03/26;Pagos: s/ O.Pago Nº6140 - ARQUETIPONET S.R.L.;;;716.025,00;;;;-89.357.781,39;;;
      433);;;12/03/26;Compras: s/F A  Nº -00011087 - NUBI S.A.;;;;;45.375,00;;-89.403.156,39;;;
      434);;;12/03/26;Compras: s/F C  Nº -00000142 - MORABITO FEDERICO JAVIER;;;;;238.200,00;;-89.641.356,39;;;
      435);;;12/03/26;Compras: s/NC A  Nº -00000102 - LOPEZ FERNANDO ANDRES;;;813.604,00;;;;-88.827.752,39;;;
      436);;;12/03/26;Compras: s/NC A  Nº -00000103 - LOPEZ FERNANDO ANDRES;;;844.580,00;;;;-87.983.172,39;;;
      437);;;12/03/26;Compras: s/NC A  Nº -00000104 - LOPEZ FERNANDO ANDRES;;;844.580,00;;;;-87.138.592,39;;;
      440);;;13/03/26;Compras: s/F C  Nº -00000030 - ANDREACCHIO RODOLFO;;;;;900.000,00;;-88.038.592,39;;;
      443);;;13/03/26;Pagos: s/ O.Pago Nº6252 - YOMHA GALILEO;;;3.300.000,00;;;;-84.738.592,39;;;
      444);;;14/03/26;Compras: s/OC  Nº -0003910082817103 - BANCO SANTANDER RIO SA;;;;;387.674,19;;-85.126.266,58;;;
      450);;;16/03/26;Pagos: s/ O.Pago Nº6166 - BANCO SANTANDER RIO SA;;;387.674,19;;;;-84.738.592,39;;;
      452);;;17/03/26;Compras: s/F A  Nº -00000019 - FABIOLA LANDIN;;;;;726.000,00;;-85.464.592,39;;;
      453);;;17/03/26;Compras: s/F A  Nº -00000020 - FABIOLA LANDIN;;;;;726.000,00;;-86.190.592,39;;;
      454);;;18/03/26;Pagos: s/ O.Pago Nº6141 - MORABITO FEDERICO JAVIER;;;238.200,00;;;;-85.952.392,39;;;
      455);;;18/03/26;Pagos: s/ O.Pago Nº6142 - MINDER S A;;;57.904,96;;;;-85.894.487,43;;;
      459);;;19/03/26;Pagos: s/ O.Pago Nº6143 - FABIOLA LANDIN;;;726.000,00;;;;-85.168.487,43;;;
